Общо в EUR,,,,49.49,50.51,1 740 993 478,1 777 068 690,1.95555,1.95600
EUR,1,1.95564,1.95592,49.13,50.04,1 728 579 973,1 760 528 956,1.95564,1.95592
USD,1,1.80407,1.82280,0.30,0.37,11 251 384,13 930 787,1.94334,1.96352
HUF,1000,4.77570,5.13546,0.00,0.01,3 020 000,154 488 022,1.85287,1.99246
GBP,1,2.27844,2.31856,0.04,0.02,1 346 952,688 670,1.94664,1.98052
NOK,10,1.66312,1.74436,0.00,0.00,1 045 966,36 737,1.89579,1.98731
RON,10,3.87616,4.00932,0.00,0.00,616 854,162 028,1.92928,1.99554
SEK,10,1.70169,1.75613,0.00,0.00,149 200,725 930,1.91976,1.98027
DKK,10,2.58722,2.68574,0.00,0.00,124 015,38 138,1.92841,2.00225
CZK,100,7.47213,8.11697,0.00,0.00,93 520,245 198,1.88089,2.04320
CAD,1,1.33172,1.37260,0.00,0.01,75 785,348 678,1.92913,1.98854
CHF,1,2.04860,2.08861,0.00,0.01,72 928,227 235,1.93179,1.96948
TRY,100,5.57951,6.20914,0.00,0.00,18 300,213 868,1.84412,2.05158
PLN,10,4.32057,4.51200,0.00,0.05,15 265,7 082 318,1.86674,1.94945
JPY,100,1.18400,1.23017,0.00,0.00,10 000,24 829 079,1.90624,1.98057
AUD,1,1.16200,1.20645,0.00,0.00,1 800,10 500,1.92230,1.99462

* Обемът на сделките между банките и на банките с БНБ е представен в двоен размер – като покупка от едната страна и продажба от другата.,
